Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type,Account Currency
1 - Umsatzerlöse,,,,1,,Income,EUR
Erlöse,1 - Umsatzerlöse,4200,,0,Income Account,Income,EUR
Erlöse 7 % USt,1 - Umsatzerlöse,4300,,0,Income Account,Income,EUR
Erlöse aus im Inland steuerpfl. EU-Lieferungen 7 % USt,1 - Umsatzerlöse,4310,,0,Income Account,Income,EUR
Erlöse aus im Inland steuerpfl. EU-Lieferungen 19 % USt,1 - Umsatzerlöse,4315,,0,Income Account,Income,EUR
Erlöse aus im anderen EU-Land steuerpfl. Lieferungen,1 - Umsatzerlöse,4320,,0,Income Account,Income,EUR
Erlöse aus im Inland steuerpfl. EU-Lieferungen 16 % USt,1 - Umsatzerlöse,4330,,0,Income Account,Income,EUR
"Erlöse aus Lieferungen von Mobilfunkger./Schaltkr., für die der Leistungsemp für die Ust. schuldet",1 - Umsatzerlöse,4335,,0,Income Account,Income,EUR
"Erlöse aus im anderen EU-Land steuerpfl. sonst. Leistungen, für die der Leistungsemp für die Ust. schuldet",1 - Umsatzerlöse,4336,,0,Income Account,Income,EUR
"Erlöse aus Leistungen, für die der Leistungsemp für die Ust. nach § 13b UStG schuldet",1 - Umsatzerlöse,4337,,0,Income Account,Income,EUR
"Erlöse aus im Drittland steuerbaren Leistungen, im Inland nicht steuerbare Umsätze",1 - Umsatzerlöse,4338,,0,Income Account,Income,EUR
"Erlöse aus im anderen EU-Land steuerbaren Leistungen, im Inland nicht steuerbare Umsätze",1 - Umsatzerlöse,4339,,0,Income Account,Income,EUR
Erlöse 16 % USt,1 - Umsatzerlöse,4340,,0,Income Account,Income,EUR
Erlöse 19 % USt,1 - Umsatzerlöse,4400,,0,Income Account,Income,EUR
Erlöse Abfallverwertung,1 - Umsatzerlöse,4510,,0,Income Account,Income,EUR
Erlöse Leergut,1 - Umsatzerlöse,4520,,0,Income Account,Income,EUR
Nicht steuerbare Umsätze (Innenumsätze),1 - Umsatzerlöse,4690,,0,Income Account,Income,EUR
"Umsatzsteuervergütungen, z.B. nach § 24 UStG",1 - Umsatzerlöse,4695,,0,Income Account,Income,EUR
Andere Nebenerlöse,1 - Umsatzerlöse,4833,,0,Income Account,Income,EUR
Erträge aus Verwaltungskostenumlagen,1 - Umsatzerlöse,4992,,0,Income Account,Income,EUR
Erlösschmälerungen (Gruppe),1 - Umsatzerlöse,,,1,,Income,EUR
Erlösschmälerungen,Erlösschmälerungen (Gruppe),4700,,0,Income Account,Income,EUR
Erlösschmälerungen aus steuerfreien Umsätzen § 4 Nr. 1a UStG,Erlösschmälerungen (Gruppe),4705,,0,Income Account,Income,EUR
Erlösschmälerungen 7 % USt,Erlösschmälerungen (Gruppe),4710,,0,Income Account,Income,EUR
Erlösschmälerungen 19 % USt,Erlösschmälerungen (Gruppe),4720,,0,Income Account,Income,EUR
Erlösschmälerungen aus steuerfreien innergem. Lieferungen,Erlösschmälerungen (Gruppe),4724,,0,Income Account,Income,EUR
Erlösschmälerungen aus im Inland steuerpfl. EU-Lieferungen 7 % USt,Erlösschmälerungen (Gruppe),4725,,0,Income Account,Income,EUR
Erlösschmälerungen aus im Inland steuerpfl. EU-Lieferungen 19 % USt,Erlösschmälerungen (Gruppe),4726,,0,Income Account,Income,EUR
